품목명,HS코드
"정어리[사르디나 필차르두스(Sardina pilchardus)ㆍ사르디노프스(Sardinops)속], 사르디넬라[사르디넬라(Sardinella)속], 브리스링(brisling)이나 스프랫(sprats)[스프라투스 스프라투스(Sprattus sprattus)]",302430000
고등어[스콤버 스콤브루스(Scomber scombrus)ㆍ스콤버 오스트랄라시쿠스(Scomber australasicus)ㆍ스콤버 자포니쿠스(Scomber japonicus)],302440000
전갱이[트라커러스(Trachurus)속],302450000
날쌔기[라키센트론 카나둠(Rachycentron canadum)],302460000
황새치[자이피어스 글래디어스(Xiphias gladius)],302470000
삼치[스콤버로모러스(Scomberomorus)속],302491000
병어[팜푸스(Pampus)속],302492000
꽁치[콜로라비스 사이라(Cololabis saira)],302493000
대구[가두스 모르화(Gadus morhua)ㆍ가두스 오각(Gadus ogac)ㆍ가두스 마크로세팔루스(Gadus macrocephalus)],302510000
해덕[멜라노그라무스 애그레피누스(Melanogrammus aeglefinus)],302520000
검정대구[폴라치우스 비렌스(Pollachius virens)],302530000
민대구[메루키우스(Merluccius)속ㆍ유르피키스(Urophycis)속],302540000
명태[테라그라 찰코그라마(Theragra chalcogramma)],302550000
블루 화이팅스(blue whitings)[마이크로메시스티우스 포우타소우(Micromesistius poutassou)ㆍ마이크로메시스티우스 오스트랄리스(Micromesistius australis)],302560000
틸라피아[오레오크로미스(Oreochromis)속],302710000
메기[판가시우스(Pangasius)속ㆍ실루러스(Silurus)속ㆍ클라리아스(Clarias)속ㆍ익타루러스(Ictalurus)속],302720000
잉어[사이프리너스(Cyprinus)속ㆍ카라시우스(Carassius)속ㆍ크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)속ㆍ시리누스(Cirrhinus)속ㆍ마일로파린고돈 피세우스(Mylopharyngodon piceus)ㆍ카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)속ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)속],302730000
뱀장어[앙귈라(Anguilla)속],302740000
곱상어와 그 밖의 상어,302810000
가오리와 홍어[라지대(Rajidae)과],302820000
이빨고기[디소스티쿠스(Dissostichus)속],302830000
농어[디센트라르쿠스(Dicentrarchus)속],302840000
돔[스파리대(Sparidae)과],302850000
갈치,302892000
학꽁치(Hyporhampus sajori),302895000
돔[스파리대(Sparidae)과는 제외한다],302896000
아귀,302899040
어란(魚卵)ㆍ어백(魚白),302912000
상어 지느러미,302920000
소크아이 연어[홍연어(red salmon)][옹코링쿠스 넬카(Oncorhynchus nerka)],303110000
그 밖의 태평양 연어[옹코링쿠스 고르부스카(Oncorhynchus gorbuscha)ㆍ옹코링쿠스 케타(Oncorhynchus keta)ㆍ옹코링쿠스 차비차(Oncorhynchus tschawytscha)ㆍ옹코링쿠스 키수츠(Oncorhynchus kisutch)ㆍ옹코링쿠스 마소(Oncorhynchus masou)ㆍ옹코링쿠스 로두루스(Oncorhynchus rhodurus)],303120000
가자미[플루로넥테스 플라테사(Pleuronectes platessa)를 제외한다],303391000
대서양 참다랑어[터너스 티너스(Thunnus thynnus)],303451000
새꼬리민태,303691000
가오리,303821000
홍어,303822000
은대구,303891000
옥돔[브랜치오스테거스 자포니커스(Branchiostegus Japonicus)],303893010
옥두어[브랜치오스테거스 알부스(Branchiostegus albus)],303893020
조기,3038950
참조기[라리미크티스 폴리악티스(Larimichthys polyactis)],303895010
부세[라리미크티스 크로세아(Larimichthys crocea)],303895020
보리멸,303899010
홍살치,303899020
달고기,303899030
임연수어,303899040
